rank,channel,runway_clip_count,used_by_dataset,used_by_companies,flag
1,FIG Channel,15056,runway-jupiter,Runway,USED_BY
2,MLB,11984,runway-jupiter,Runway,USED_BY
3,KBS WORLD TV,11753,runway-jupiter,Runway,USED_BY
4,WBIR Channel 10,11115,runway-jupiter,Runway,USED_BY
5,1theK (원더케이),11035,runway-jupiter,Runway,USED_BY
6,CBS New York,10372,runway-jupiter,Runway,USED_BY
7,PlayStation,9675,runway-jupiter,Runway,USED_BY
8,NHL,6990,runway-jupiter,Runway,USED_BY
9,World Rugby,6733,runway-jupiter,Runway,USED_BY
10,NBA,6079,runway-jupiter,Runway,USED_BY
11,CBC Sports,5377,runway-jupiter,Runway,USED_BY
12,wikiHow,5261,runway-jupiter,Runway,USED_BY
13,Eurosport,5236,runway-jupiter,Runway,USED_BY
14,FOX,4908,runway-jupiter,Runway,USED_BY
15,KinoCheck.com,4826,runway-jupiter,Runway,USED_BY
16,ONE Media,4763,runway-jupiter,Runway,USED_BY
17,Olympics,4734,runway-jupiter,Runway,USED_BY
18,IBJJF (International Brazilian Jiu-Jitsu Federation),4574,runway-jupiter,Runway,USED_BY
19,Skating ISU,4474,runway-jupiter,Runway,USED_BY
20,Global Cycling Network,4438,runway-jupiter,Runway,USED_BY
21,Entertainment Access,4369,runway-jupiter,Runway,USED_BY
22,NFL,4360,runway-jupiter,Runway,USED_BY
23,Scotty Kilmer,4332,runway-jupiter,Runway,USED_BY
24,Man City,4108,runway-jupiter,Runway,USED_BY
25,WWE,3763,runway-jupiter,Runway,USED_BY
26,Paralympic Games,3690,runway-jupiter,Runway,USED_BY
27,NCAA Championships,3551,runway-jupiter,Runway,USED_BY
28,USCAthletics,3526,runway-jupiter,Runway,USED_BY
29,Eurovision Song Contest,3520,runway-jupiter,Runway,USED_BY
30,BETNetworks,3462,runway-jupiter,Runway,USED_BY
31,Shemaroo Comedy,3420,runway-jupiter,Runway,USED_BY
32,Major League Soccer,3278,runway-jupiter,Runway,USED_BY
33,DIY Pinto,3164,runway-jupiter,Runway,USED_BY
34,Rubhen925,3137,runway-jupiter,Runway,USED_BY
35,YRF,3122,runway-jupiter,Runway,USED_BY
36,FIFA,3073,runway-jupiter,Runway,USED_BY
37,Variety,2975,runway-jupiter,Runway,USED_BY
38,Looper,2973,runway-jupiter,Runway,USED_BY
39,NOW PLAYING,2960,runway-jupiter,Runway,USED_BY
40,Movieclips,2956,runway-jupiter,Runway,USED_BY
41,FEI,2899,runway-jupiter,Runway,USED_BY
42,settime2588,2878,runway-jupiter,Runway,USED_BY
43,Mango Music,2804,runway-jupiter,Runway,USED_BY
44,Peppa Pig - Official Channel,2784,runway-jupiter,Runway,USED_BY
45,Liverpool FC,2714,runway-jupiter,Runway,USED_BY
46,WildBrain Kids,2665,runway-jupiter,Runway,USED_BY
47,MIT OpenCourseWare,2575,runway-jupiter,Runway,USED_BY
48,CBBC,2572,runway-jupiter,Runway,USED_BY
49,Swissbeatbox,2556,runway-jupiter,Runway,USED_BY
50,5-Minute Crafts,2528,runway-jupiter,Runway,USED_BY
51,Gezen Adam,2486,runway-jupiter,Runway,USED_BY
52,SQUASHTV,2406,runway-jupiter,Runway,USED_BY
53,Nickelodeon UK,2361,runway-jupiter,Runway,USED_BY
54,Nickelodeon,2360,runway-jupiter,Runway,USED_BY
55,FilmSpot Trailer,2326,runway-jupiter,Runway,USED_BY
56,SciShow,2303,runway-jupiter,Runway,USED_BY
57,J-AutoShow,2283,runway-jupiter,Runway,USED_BY
58,Surfers of Bali,2252,runway-jupiter,Runway,USED_BY
59,Britain's Got Talent,2238,runway-jupiter,Runway,USED_BY
60,World Archery,2211,runway-jupiter,Runway,USED_BY
61,All4HimRacingVideos,2198,runway-jupiter,Runway,USED_BY
62,Cartoon Network,2162,runway-jupiter,Runway,USED_BY
63,PPA Tour,2146,runway-jupiter,Runway,USED_BY
64,Rombbb,2128,runway-jupiter,Runway,USED_BY
65,Discovery,2109,runway-jupiter,Runway,USED_BY
66,Linus Tech Tips,2095,runway-jupiter,Runway,USED_BY
67,Unisport,2092,runway-jupiter,Runway,USED_BY
68,DraKulis,2024,runway-jupiter,Runway,USED_BY
69,Cult Cinema Classics,2007,runway-jupiter,Runway,USED_BY
70,T-Series,1977,runway-jupiter,Runway,USED_BY
71,CBC,1960,runway-jupiter,Runway,USED_BY
72,Global Triathlon Network,1943,runway-jupiter,Runway,USED_BY
73,PAW Patrol Official & Friends,1934,runway-jupiter,Runway,USED_BY
74,ACC Digital Network,1920,runway-jupiter,Runway,USED_BY
75,The Wall Street Journal,1918,runway-jupiter,Runway,USED_BY
76,Fudgy,1917,runway-jupiter,Runway,USED_BY
77,NASASpaceflight,1911,runway-jupiter,Runway,USED_BY
78,Discovery UK,1911,runway-jupiter,Runway,USED_BY
79,Met Office - UK Weather,1860,runway-jupiter,Runway,USED_BY
80,Boxoffice Movie Scenes,1810,runway-jupiter,Runway,USED_BY
81,Howcast,1797,runway-jupiter,Runway,USED_BY
82,CrossFit,1788,runway-jupiter,Runway,USED_BY
83,TED,1767,runway-jupiter,Runway,USED_BY
84,DC Kids,1719,runway-jupiter,Runway,USED_BY
85,Screen Culture,1719,runway-jupiter,Runway,USED_BY
