query_name,matched_name,creator_id,total_results,count__free-music-archive,count__laion-disco-12m,count__sleeping-disco-9m,count__spotify-tracks-dataset,present_datasets,used_by_datasets,used_by_companies,flag
Michael Jackson,Michael Jackson,f27ec8db-af05-4f36-916e-3d57f91ecf5e,622,0,158,449,15,laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,,,DOWNLOADED_ONLY
Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,b972f589-fb0e-474e-b64a-803b0364fa75,13061,0,12691,107,263,laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,,,DOWNLOADED_ONLY
Charlie Chaplin,Charlie Chaplin,043eefc9-9d94-4d06-b6f3-93252fa52154,142,0,140,2,0,laion-disco-12m;sleeping-disco-9m,,,PRESENT
The Beatles,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,759,0,268,341,150,laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,,,DOWNLOADED_ONLY
Rabindranath Tagore,Rabindranath Tagore,13274b60-181b-431a-b049-b48560c58e2a,179,0,178,1,0,laion-disco-12m;sleeping-disco-9m,,,PRESENT
Marilyn Monroe,Marilyn Monroe,6e60deeb-a666-42c5-95cb-a5eada6bbbe5,205,0,185,20,0,laion-disco-12m;sleeping-disco-9m,,,PRESENT
Corbin Bleu,Corbin Bleu,393e3b99-a8dc-497c-81e7-f41f4fb49244,233,0,156,77,0,laion-disco-12m;sleeping-disco-9m,,,PRESENT
Basshunter,Basshunter,255e2420-5b02-452b-9771-0512ebe78090,263,0,139,124,0,laion-disco-12m;sleeping-disco-9m,,,PRESENT
Elvis Presley,Elvis Presley,01809552-4f87-45b0-afff-2c6f0730a3be,1042,0,371,586,85,laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,,,DOWNLOADED_ONLY
Shakira,Shakira,bf24ca37-25f4-4e34-9aec-460b94364cfc,248,0,37,199,12,laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,,,DOWNLOADED_ONLY
Frédéric Chopin,Frédéric Chopin,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,7012,0,6842,153,17,laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,,,DOWNLOADED_ONLY
Marlene Dietrich,Marlene Dietrich,191cba6a-b83f-49ca-883c-02b20c7a9dd5,196,0,170,26,0,laion-disco-12m;sleeping-disco-9m,,,PRESENT
Mother Teresa,,,0,,,,,,,,NONE
Lady Gaga,Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848,527,0,162,337,28,laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,,,DOWNLOADED_ONLY
The Carpenters,The Carpenters,4580d83b-093e-4241-91fb-2dd71f5f1f3f,237,0,138,99,0,laion-disco-12m;sleeping-disco-9m,,,PRESENT
Madonna,Madonna,79239441-bfd5-4981-a70c-55c3f15c1287,771,0,152,617,2,laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,,,DOWNLOADED_ONLY
The Doors,The Doors,9efff43b-3b29-4082-824e-bc82f646f93d,194,0,122,44,28,laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,,,DOWNLOADED_ONLY
Bob Dylan,Bob Dylan,72c536dc-7137-4477-a521-567eeb840fa8,725,1,245,474,5,free-music-archive;laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,free-music-archive,Google;Stability AI,USED_BY
John Lennon,John Lennon,4d5447d7-c61c-4120-ba1b-d7f471d385b9,332,0,239,91,2,laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,,,DOWNLOADED_ONLY
Pelé,Pelé,736ce674-b38c-4c81-bdee-4c586a01f9cc,19,0,18,1,0,laion-disco-12m;sleeping-disco-9m,,,PRESENT
